0.4000,0.6982,0.7475,0.2652
0.0000,1.5621,1.8361,0.0322
0.2000,1.1816,0.6919,0.7626
0.0000,0.8897,1.7681,0.1973
0.0000,0.7250,0.7500,0.7374
0.4000,1.1178,1.7189,0.8327
0.2000,0.5444,0.9388,0.9311
0.2000,1.1626,1.8683,0.8565
0.8000,0.9739,0.7336,0.7634
0.4000,0.9876,1.6145,0.9444
0.0000,0.9999,0.7834,0.8684
0.6000,1.1195,1.4892,0.8753
0.2000,1.2156,0.4853,0.8501
0.8000,0.9512,1.7555,0.1403
0.2000,1.1627,0.5660,0.4331
0.2000,1.0446,1.7764,0.4464
0.0000,0.8591,0.7350,0.2812
0.0000,1.1323,1.7585,0.3597
0.2000,1.0238,0.7264,0.9388
0.0000,1.0333,1.8312,0.1337
0.8000,1.0853,0.7126,0.2190
0.0000,1.2657,1.7434,0.2148
0.0000,1.1012,0.7220,0.2553
0.8000,1.0009,1.7215,0.9131
0.8000,0.9432,0.8054,0.7894
0.6000,0.9265,1.7148,0.1992
0.8000,0.8135,0.8661,0.5557
0.8000,0.5539,1.6393,0.7087
0.4000,0.7546,0.8319,0.5011
0.6000,0.9295,1.6771,0.1189
0.8000,0.7404,0.9137,0.5037
0.2000,0.7520,1.8676,0.6620
0.4000,1.2229,0.7032,0.7504
0.2000,1.0282,1.6648,0.2021
0.4000,0.7019,0.7652,0.2562
0.0000,0.8587,1.7667,0.6900
0.6000,1.1419,0.7854,0.4516
0.6000,1.0446,1.6883,0.7827
0.6000,0.9629,0.7466,0.3327
0.4000,0.9571,1.7549,0.6012
0.4000,1.2799,0.7662,0.0926
0.2000,1.2337,1.6659,0.8041
0.2000,0.7614,1.0257,0.5913
0.0000,1.3439,1.6873,0.1680
0.2000,0.8043,0.7920,0.7805
0.0000,0.5675,1.7338,0.8784
0.4000,0.9451,0.5746,0.8014
0.4000,1.5360,1.6681,0.7430
0.6000,1.0212,0.7376,0.4928
0.6000,0.9229,1.6972,0.0794
